,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
98,Відкритий Благодійний Шаховий Турнір(м.Кременчук) ,20210717,20210717,,,Щегельський Г.Є,,,Кременчук,UKR,17.07.2021  13:14 ,0,17,7,7,570000,Schweizer System                                            ,7
99,"30 year Jubilee Edition ""Kyiv Spring - 2021 (blitz C)"" (Memory Oleg Pechonkin)",20210711,20210711,"FIDE - Global Strategy Commision, Kyiv Chess Federation","GM Malakhatko, Vadim (BEL) /14104202/","IA Prohorov, Olexandr (UKR) /14105578/","NA Zakharchuk, Ivan (UKR) /14159775/","Koval, Oleg (UKR) /14140870/ ",Kyiv,UKR,16.07.2021  23:25 ,0,144,9,9,552303,Schweizer System                                            ,7
100,"30 year Jubilee Edition ""Kyiv Spring - 2021 (rapid B)"" (Memory Oleg Pechonkin)",20210716,20210716,"FIDE - Global Strategy Commision, Kyiv Chess Federation","GM Malakhatko, Vadim (BEL) /14104202/","IA Prohorov, Olexandr (UKR) /14105578/","NA Zakharchuk, Ivan (UKR) /14159775/","Koval, Oleg (UKR) /14140870/",Kyiv,UKR,16.07.2021  23:25 ,0,129,7,7,552302,Schweizer System                                            ,7
101,"Дитячий шаховий турнір ""Chess Camp"" - Класика",20210610,20210615,"І-Ф ДЮСШ №3,  ГО ""Мами Прикарпаття"" та ГО ""Федерація шахів м. Івано-Франківська""",,"14106329 Kobylianskyi, Ihor (UKR) NA",,,с. Микуличин,UKR,15.07.2021  23:29 ,0,20,7,7,569068,Schweizer System                                            ,6
102,"Дитячий шаховий турнір ""Chess Camp"" - Blitz 2",20210714,20210714,"І-Ф ДЮСШ №3,  ГО ""Мами Прикарпаття"" та ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,15.07.2021  10:42 ,0,16,13,13,569625,Schweizer System                                            ,7
103,Шахи Фішера 2021 Орявчик,20210712,20210712,,,Волошинський Л.Ю.,Ромашова Ю.В.,Ромашова З.А. ,,UKR,13.07.2021  08:38 ,0,25,7,7,569441,Schweizer System                                            ,7
104,Шаховий табір Орявчик 2021 ,20210711,20210711,Ромашов А.В.,Ромашов А.В.,Ромашов А.В.,Французов О.С.,"Волошинський Л.Ю,","Орявчик, Резиденція Горицвіт",UKR,12.07.2021  08:40 ,0,30,7,7,569277,Schweizer System                                            ,7
105,"9-11.07.2021 Кваліфікаційний турнір 2 розряду""Шахова Школа"" DreamTown2",20210709,20210711,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,11.07.2021  18:37 ,0,22,9,9,567870,Schweizer System                                            ,7
106,"9-11.07.2021 Кваліфікаційний турнір 3 розряду""Шахова Школа"" DreamTown2",20210709,20210711,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,11.07.2021  18:20 ,0,15,9,9,567871,Schweizer System                                            ,7
107,Відкритий чемпіонат Івано-Франківської області серед чоловіків ,20210703,20210711,Управління спорту Івано-Франківської ОДА,В.І.Палагіцький,В.І.Палагіцький,,Н.В.Палагіцька,Івано-Франківськ,UKR,11.07.2021  17:03 ,0,24,9,9,565998,Schweizer System                                            ,7
108,Кваліфікаційний турнір з нормою виконання 2 розряду м.Львів 10-11 липня 2021 ,20210705,20210705,,,Нощенко І.В.,,,Львів,UKR,11.07.2021  16:49 ,0,23,9,9,568484,Schweizer System                                            ,7
109,Першість шахової школи В.Іванчука з нормою 2 розряду 10 -11.07.2021,20210710,20210711,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,11.07.2021  15:00 ,0,14,9,9,568536,Schweizer System                                            ,7
110,Першість шахової школи В.Іванчука з нормою 1 розряду 09 - 11.07.2021,20210709,20210711,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,11.07.2021  14:27 ,0,19,9,9,568533,Schweizer System                                            ,7
111,Козятин-рапід-2021,20210711,20210711,Козятинська шахова федерація,Іонов Олександр,Вусатюк Володимир,Бузько Віктор,,Козятин (Вінницька обл.),UKR,11.07.2021  13:51 ,0,54,9,9,567091,Schweizer System                                            ,7
112,"10-11.07.2021 Кваліфікаційний турнір 4 розряду та безрозрядників ""Шахова Школа"" DreamTown2",20210710,20210711,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О.Р., Мамедов Р., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,11.07.2021  12:18 ,0,48,9,9,567872,Schweizer System                                            ,7
113,Кваліфікаційний турнір з нормою виконання 3 розряду 10.07.2021,20210710,20210710,,Матвієнко М.І.,Нощенко І.В.,,,Львів,UKR,10.07.2021  16:47 ,0,11,9,9,569135,Schweizer System                                            ,7
114,8 Memory A.Olkhovsky,20210710,20210710,Chess Federation Vinnytsia Region,,"14128748 Tovchyga, Oleg (UKR) IA  ",,,Vinnytsia,UKR,10.07.2021  16:17 ,0,62,9,9,568956,Schweizer System                                            ,7
115,Першість шахової школи В.Іванчука з нормою 3 розряду 10.07.2021,20210710,20210710,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,10.07.2021  14:53 ,0,16,9,9,568537,Schweizer System                                            ,7
116,"5 Вінницькі ВЕРЕМІЇ (до 12 років,2009 р.н. і молодші) м.Вінниця 6-9.07",20210706,20210709,МДЮСШ №6,Боднар Микола,Вусатюк Володимир,Роєнко Артур,Дорофєєв Станіслав,Вінниця,UKR,09.07.2021  15:05 ,0,96,9,9,562456,Schweizer System                                            ,7
117,Bridges of Ingul. Tournament A,20210629,20210705,Федерація шахів Миколаївської області,віце-президент ФШНО мс Горощенко Д.В.,"IA Khamzin, Ruslan (UKR)","IA Larkin, Sergii (UKR)",,"Миколаїв, вул. Фалєєвська, 1А",UKR,05.07.2021  13:24 ,0,59,9,9,561330,Schweizer System                                            ,7
118,"XVII міжнародний фестиваль з шахів ""ІНГУЛЬСЬКІ МОСТИ - 2021"".Турнір А",20210629,20210705,Федерація шахів Миколаївської області,віце-президент ФШНО мс Горощенко Д.В.,"IA Khamzin, Ruslan (UKR)","IA Larkin, Sergii (UKR)",,"Миколаїв, вул. Фалєєвська, 1А",UKR,05.07.2021  13:24 ,0,59,9,9,563537,Schweizer System                                            ,7
119,"XVII міжнародний фестиваль з шахів ""ІНГУЛЬСЬКІ МОСТИ - 2021"".Турнір В ",20210629,20210705,Федерація шахів Миколаївської області,віце-президент ФШНО мс Горощенко Д.В.,"IA Khamzin, Ruslan (UKR)","IA Larkin, Sergii (UKR)",,"Миколаїв, вул. Фалєєвська, 1А",UKR,05.07.2021  11:42 ,0,64,9,9,561331,Schweizer System                                            ,7
120,Bridges of Ingul. Tournament E (blitz),20210704,20210704,Федерація шахів Миколаївської області,віце-президент ФШНО мс Горощенко Д.В.,"IA Khamzin, Ruslan (UKR)","IA Larkin, Sergii (UKR)",,"Миколаїв, вул. Фалєєвська, 1А",UKR,04.07.2021  17:38 ,0,84,9,9,561336,Schweizer System                                            ,7
121,Чемпіонат Тернопільської області серед чоловіків,20210626,20210704,ТОШФ,,Василенко Г.М.,Трембач В.А.,,м.Тернопіль,UKR,04.07.2021  15:39 ,0,16,9,9,566307,Schweizer System                                            ,7
122,"Гран-Прі Черкаської області з швидких шахів, етап Золотоноша",20210704,20210704,,,Грінько В.Я.,,,м. Золотоноша,UKR,04.07.2021  14:21 ,0,26,9,9,568394,Schweizer System                                            ,7
123,"04.07.2021 ""Відкритий Кубок Києва - 2021"" Вища ліга.(2003 р.н. та мол.)",20210704,20210704,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,,"Kyiv, Obolon avenue 21, ""DreamTown2",UKR,04.07.2021  14:20 ,0,27,7,7,567868,Schweizer System                                            ,7
124,"04.07.2021 ""Відкритий Кубок Києва - 2021"" 1 ліга (2003 р.н. та мол.)",20210704,20210704,Шахова Школа,Семенов Д.,Семенов Д.,,,"Київ, Пр-т Оболонський, 21, DreamTown2",UKR,04.07.2021  14:20 ,0,14,7,7,567869,Schweizer System                                            ,7
125,Kyiv Chess Championship Women - 2021 Blitz					,20210704,20210704,Kyiv Chess Federation,,"IA Tovchyga, Oleg /UKR/ 14128748",,,Kyiv,UKR,04.07.2021  13:22 ,0,27,11,11,566908,Schweizer System                                            ,7
126,"03.07.2021. OPEN-BLITZ ""Chess School - 2021""",20210703,20210703,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,,"DreamTown2, Kyiv, Obolon avenue 21",UKR,03.07.2021  18:15 ,0,34,11,11,567867,Schweizer System                                            ,7
127,Відкритий Кубок І-Ф ДЮСШ № 3 Швидкі Шахидо 100-ліття Петра Яцика,20210703,20210703,"КЗ І-Ф ДЮСШ № 3 спільно з ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Шаховий клуб ""Дебют"" КЗ ""Івано-Франківська ДЮСШ № 3""",UKR,03.07.2021  14:11 ,0,14,10,10,568245,Schweizer System                                            ,7
128,Kyiv Chess Championship Women - 2021 Rapid					,20210702,20210703,Kyiv Chess Federation,,"IA Tovchyga, Oleg /UKR/ 14128748",,,Kyiv,UKR,03.07.2021  13:01 ,0,27,9,9,566911,Schweizer System                                            ,7
129,Constitution day of Ukraine - rapid,20210630,20210630,OSSK,,"Yasko A., 34132929 (UKR)",,,Odessa,UKR,30.06.2021  15:58 ,0,18,9,9,567881,Schweizer System                                            ,6
130,"II Дитячо-юнацький шаховий турнір, присвячений Дню захисту дітей,""Франківські мрії-2021"" (05-07 червня 2021 року, м. Івано-Франківськ)",20210605,20210607,"ГО ""Мами Прикарпаття"", ГО ""Федерація шахів м. Івано-Франківська""",Паньків Л. В.,"14106329 Kobylianskyi, Ihor (UKR) NA","Паньків Л. В., Олексин Л. В.","Гушпіт Я. С., Касапчук О. В., Матієвська Х. Я., Нагорний А. А., Павлюк В. І.",м. Івано-Франківськ,UKR,29.06.2021  17:53 ,0,68,9,9,567804,Schweizer System                                            ,6
131,70years Chervonohrad (27.06.2021),20210627,20210627,Червоноградська міськрада,Лещишак І.С.,Лещишак І.С.,Вахула А.В.,Чугай В.О.,Червоноград,UKR,29.06.2021  11:39 ,0,54,9,9,567306,Schweizer System                                            ,6
